"IPN","MPN","Manufacturer","Description","Symbol","Footprint","Inductance","Value","Current","Datasheet","LCSC","Alternative"
"IND-0000-0221",744918222,"Würth Elektronik","FIXED IND 222NH 3A 35 MOHM SMD","g-pas:L","g-ind:L_Wurth_WE-CAIR-5910","222n",0.000000222,3,"https://www.we-online.com/components/products/datasheet/744918222.pdf","C2043319",
"IND-0001-0820",744912182,"Würth Elektronik","FIXED IND 82NH 2.5A 9.4 MOHM SMD","g-pas:L","g-ind:L_Wurth_WE-CAIR-4248","82n",0.000000082,2.5,"https://www.we-online.com/components/products/datasheet/744912182.pdf","C5178935",
"IND-0001-0101",744912210,"Würth Elektronik","FIXED IND 100NH 1.7A 12.3 MOHM","g-pas:L","g-ind:L_Wurth_WE-CAIR-4248","100n",0.0000001,1.7,"https://www.we-online.com/components/products/datasheet/744912210.pdf","C5182193",
"IND-0001-0151","SCA1812HR15GTT","Sunltech Tech","FIXED IND 150nH SMD,3.8x4.9mm","g-pas:L","g-ind:L_Wurth_WE-CAIR-4248","150n",0.00000015,1.2,"https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8590440899370258432","C5178936",
"IND-0002-0181","FHW1008UCR18JGT","FH","FIXED IND 180nH 620mA 770mΩ 1008","g-pas:L","g-ind:L_Coilcraft_1008HQ_2520Metric","180n",0.00000018,0.62,"https://www.lcsc.com/datasheet/C318009.pdf","C318009",
"IND-0002-0272","FHW1008UC2R7JGT","FH","FIXED IND 2.7uH 290mA 3.2Ω 1008","g-pas:L","g-ind:L_Coilcraft_1008HQ_2520Metric","2µ7",0.0000027,0.29,"https://www.lcsc.com/datasheet/C318021.pdf","C318021",
"IND-0002-0392","MWI1008UC3R9JST-HF","MYX","FIXED IND 3.9uH 1008","g-pas:L","g-ind:L_Coilcraft_1008HQ_2520Metric","3µ9",0.0000039,0.26,"https://www.lcsc.com/datasheet/C48946591.pdf","C48946591",
"IND-0002-0682","FHW1008UC6R8JGT","FH","FIXED IND 6.8uH 200mA 8.2Ω 1008","g-pas:L","g-ind:L_Coilcraft_1008HQ_2520Metric","6µ8",0.0000068,0.2,"https://www.lcsc.com/datasheet/C318026.pdf","C318026",
"IND-0002-0822","MWI1008UC8R2JST-HF","MYX","FIXED IND 8.2uH 1008","g-pas:L","g-ind:L_Coilcraft_1008HQ_2520Metric","8µ2",0.0000082,0.17,"https://www.lcsc.com/datasheet/C48946595.pdf","C48946595",
"IND-0003-0682","CWP3230A-6R8M ","BOURNS","1.36A 6.8uH ±20% 1.4A 200mΩ Wire-wound chip inductor 1210 Fixed Inductors RoHS","g-pas:L","g-ind:L_Murata_LQW32FT_3225","6µ8",0.0000068,1.4,"https://www.lcsc.com/datasheet/C23491588.pdf","C23491588",
"IND-0003-0183","AHW3225F-180KTF","APV","FIXED IND 18uH 215mA 2.05Ω 1210","g-pas:L","g-ind:L_Murata_LQW32FT_3225","18µ",0.000018,0.215,"https://www.lcsc.com/datasheet/C18184940.pdf","C18184940",
"IND-0003-0473","ACMA3225POC-470M","KOHERelec","FIXED IND 47uH SMD,3.2x2.5mm","g-pas:L","g-ind:L_Murata_LQW32FT_3225","47µ",0.000047,0.3,"https://www.lcsc.com/datasheet/C42408080.pdf","C42408080","C907956"
"IND-1000-0000","GA050G00","CND-tek","SMD PULSE TRANSFORMER, 1G BASE-T Applications, Surface Mount Type","g-ind:T_ETH_4532_WE_74930000","g-ind:T_Wurth_WE-STST-4532_74930000","240µ",0.00024,0.008,"https://www.lcsc.com/datasheet/C41425875.pdf","C41425875",
